ID,类别,名称,职业或类型,包含版本,说明更新版本,Wiki相对目录,卡面,创作故事,角色故事,创作背景
investigator-丹泽-罗比-11,调查员,丹泽 · 罗比,劳改犯,Vol.1,v1.0,card/调查员/劳改犯_丹泽-罗比,card/调查员/劳改犯_丹泽-罗比/卡面.md,,card/调查员/劳改犯_丹泽-罗比/角色故事.md,card/调查员/劳改犯_丹泽-罗比/创作背景.md
investigator-阿诺-12,调查员,“阿诺”,猛男,Vol.1,v1.0,card/调查员/猛男_“阿诺”,card/调查员/猛男_“阿诺”/卡面.md,,card/调查员/猛男_“阿诺”/角色故事.md,card/调查员/猛男_“阿诺”/创作背景.md
investigator-op3-c-13,调查员,OP3-C,仿生人,Vol.2,v1.0,card/调查员/仿生人_OP3-C,card/调查员/仿生人_OP3-C/卡面.md,,card/调查员/仿生人_OP3-C/角色故事.md,card/调查员/仿生人_OP3-C/创作背景.md
investigator-乔-奇普-14,调查员,乔 · 奇普,欺诈师,Vol.2,v1.0,card/调查员/欺诈师_乔-奇普,card/调查员/欺诈师_乔-奇普/卡面.md,,card/调查员/欺诈师_乔-奇普/角色故事.md,card/调查员/欺诈师_乔-奇普/创作背景.md
investigator-吉姆-伯格-15,调查员,吉姆 · 伯格,目击者,Vol.3,v1.0,card/调查员/目击者_吉姆-伯格,card/调查员/目击者_吉姆-伯格/卡面.md,,card/调查员/目击者_吉姆-伯格/角色故事.md,card/调查员/目击者_吉姆-伯格/创作背景.md
investigator-普奇耶拉-16,调查员,普奇耶拉,选民,Vol.3,v1.0,card/调查员/选民_普奇耶拉,card/调查员/选民_普奇耶拉/卡面.md,,card/调查员/选民_普奇耶拉/角色故事.md,card/调查员/选民_普奇耶拉/创作背景.md
investigator-杰克-纳皮尔-17,调查员,杰克 · 纳皮尔,精神病人,Vol.3,v1.0,card/调查员/精神病人_杰克-纳皮尔,card/调查员/精神病人_杰克-纳皮尔/卡面.md,,card/调查员/精神病人_杰克-纳皮尔/角色故事.md,card/调查员/精神病人_杰克-纳皮尔/创作背景.md
investigator-hal-1-18,调查员,HAL-1,仿生人,Vol.3,v1.0,card/调查员/仿生人_HAL-1,card/调查员/仿生人_HAL-1/卡面.md,,card/调查员/仿生人_HAL-1/角色故事.md,card/调查员/仿生人_HAL-1/创作背景.md
investigator-meow-19,调查员,Meow,猫？,Vol.3,v1.0,card/调查员/猫？_Meow,card/调查员/猫？_Meow/卡面.md,,card/调查员/猫？_Meow/角色故事.md,card/调查员/猫？_Meow/创作背景.md
investigator-阿诺姆-20,调查员,阿诺姆,中之人,Vol.3,v1.0,card/调查员/中之人_阿诺姆,card/调查员/中之人_阿诺姆/卡面.md,,card/调查员/中之人_阿诺姆/角色故事.md,card/调查员/中之人_阿诺姆/创作背景.md
strategy-布局-i-1,策略,布局 · I,即时行动,Vol.1,v1.0,card/策略卡牌/布局-I,card/策略卡牌/布局-I/卡面.md,card/策略卡牌/布局-I/创作故事.md,,
strategy-不可直视神-i-2,策略,不可直视神 · I,个体机制,Vol.2,v1.0,card/策略卡牌/不可直视神-I,card/策略卡牌/不可直视神-I/卡面.md,card/策略卡牌/不可直视神-I/创作故事.md,,
strategy-沉沦-i-3,策略,沉沦 · I,个体机制,Vol.2,v1.0,card/策略卡牌/沉沦-I,card/策略卡牌/沉沦-I/卡面.md,card/策略卡牌/沉沦-I/创作故事.md,,
strategy-沉沦-ii-4,策略,沉沦 · II,个体机制,Vol.2,v1.0,card/策略卡牌/沉沦-II,card/策略卡牌/沉沦-II/卡面.md,card/策略卡牌/沉沦-II/创作故事.md,,
strategy-砥砺前行-i-5,策略,砥砺前行 · I,即时行动,Vol.2,v1.0,card/策略卡牌/砥砺前行-I,card/策略卡牌/砥砺前行-I/卡面.md,card/策略卡牌/砥砺前行-I/创作故事.md,,
strategy-俄罗斯转轮-i-6,策略,俄罗斯转轮 · I,即时行动,Vol.2,v1.0,card/策略卡牌/俄罗斯转轮-I,card/策略卡牌/俄罗斯转轮-I/卡面.md,card/策略卡牌/俄罗斯转轮-I/创作故事.md,,
strategy-反转-i-7,策略,反转 · I,即时行动,Vol.1,v1.0,card/策略卡牌/反转-I,card/策略卡牌/反转-I/卡面.md,card/策略卡牌/反转-I/创作故事.md,,
strategy-反转-ii-8,策略,反转 · II,即时行动,Vol.1,v1.0,card/策略卡牌/反转-II,card/策略卡牌/反转-II/卡面.md,card/策略卡牌/反转-II/创作故事.md,,
strategy-回溯-i-9,策略,回溯 · I,即时行动,Vol.2,v1.0,card/策略卡牌/回溯-I,card/策略卡牌/回溯-I/卡面.md,card/策略卡牌/回溯-I/创作故事.md,,
strategy-禁忌仪式-i-10,策略,禁忌仪式 · I,即时行动,Vol.2,v1.0,card/策略卡牌/禁忌仪式-I,card/策略卡牌/禁忌仪式-I/卡面.md,card/策略卡牌/禁忌仪式-I/创作故事.md,,
strategy-傀儡-i-11,策略,傀儡 · I,即时行动,Vol.1,v1.0,card/策略卡牌/傀儡-I,card/策略卡牌/傀儡-I/卡面.md,card/策略卡牌/傀儡-I/创作故事.md,,
strategy-窥探-i-12,策略,窥探 · I,即时行动,Vol.1,v1.0,card/策略卡牌/窥探-I,card/策略卡牌/窥探-I/卡面.md,card/策略卡牌/窥探-I/创作故事.md,,
strategy-窥探-ii-13,策略,窥探 · II,即时行动,Vol.1,v1.0,card/策略卡牌/窥探-II,card/策略卡牌/窥探-II/卡面.md,card/策略卡牌/窥探-II/创作故事.md,,
strategy-窥探-iii-14,策略,窥探 · III,即时行动,Vol.1,v1.0,card/策略卡牌/窥探-III,card/策略卡牌/窥探-III/卡面.md,card/策略卡牌/窥探-III/创作故事.md,,
strategy-窥探-iv-15,策略,窥探 · IV,即时行动,Vol.1,v1.0,card/策略卡牌/窥探-IV,card/策略卡牌/窥探-IV/卡面.md,card/策略卡牌/窥探-IV/创作故事.md,,
strategy-埋葬过去-i-16,策略,埋葬过去 · I,即时行动,Vol.1,v1.0,card/策略卡牌/埋葬过去-I,card/策略卡牌/埋葬过去-I/卡面.md,card/策略卡牌/埋葬过去-I/创作故事.md,,
strategy-盲从-i-17,策略,盲从 · I,个体机制,Vol.1,v1.0,card/策略卡牌/盲从-I,card/策略卡牌/盲从-I/卡面.md,card/策略卡牌/盲从-I/创作故事.md,,
strategy-内化-i-18,策略,内化 · I,即时行动,Vol.2,v1.0,card/策略卡牌/内化-I,card/策略卡牌/内化-I/卡面.md,card/策略卡牌/内化-I/创作故事.md,,
strategy-凝视-i-19,策略,凝视 · I,即时行动,Vol.2,v1.0,card/策略卡牌/凝视-I,card/策略卡牌/凝视-I/卡面.md,card/策略卡牌/凝视-I/创作故事.md,,
strategy-平衡-i-20,策略,平衡 · I,即时行动,Vol.1,v1.0,card/策略卡牌/平衡-I,card/策略卡牌/平衡-I/卡面.md,card/策略卡牌/平衡-I/创作故事.md,,
strategy-平衡-ii-21,策略,平衡 · II,即时行动,Vol.1,v1.0,card/策略卡牌/平衡-II,card/策略卡牌/平衡-II/卡面.md,card/策略卡牌/平衡-II/创作故事.md,,
strategy-平衡-iii-22,策略,平衡 · III,即时行动,Vol.1,v1.0,card/策略卡牌/平衡-III,card/策略卡牌/平衡-III/卡面.md,card/策略卡牌/平衡-III/创作故事.md,,
strategy-破釜沉舟-i-23,策略,破釜沉舟 · I,即时行动,Vol.2,v1.0,card/策略卡牌/破釜沉舟-I,card/策略卡牌/破釜沉舟-I/卡面.md,card/策略卡牌/破釜沉舟-I/创作故事.md,,
strategy-破釜沉舟-ii-24,策略,破釜沉舟 · II,即时行动,Vol.2,v1.0,card/策略卡牌/破釜沉舟-II,card/策略卡牌/破釜沉舟-II/卡面.md,card/策略卡牌/破釜沉舟-II/创作故事.md,,
strategy-跳过-i-25,策略,跳过 · I,即时行动,Vol.1,v1.0,card/策略卡牌/跳过-I,card/策略卡牌/跳过-I/卡面.md,card/策略卡牌/跳过-I/创作故事.md,,
strategy-跳过-ii-26,策略,跳过 · II,个体机制,Vol.1,v1.0,card/策略卡牌/跳过-II,card/策略卡牌/跳过-II/卡面.md,card/策略卡牌/跳过-II/创作故事.md,,
strategy-调整-i-27,策略,调整 · I,即时行动,Vol.2,v1.0,card/策略卡牌/调整-I,card/策略卡牌/调整-I/卡面.md,card/策略卡牌/调整-I/创作故事.md,,
strategy-偷天换日-i-28,策略,偷天换日 · I,即时行动,Vol.2,v1.0,card/策略卡牌/偷天换日-I,card/策略卡牌/偷天换日-I/卡面.md,card/策略卡牌/偷天换日-I/创作故事.md,,
strategy-献祭-i-29,策略,献祭 · I,即时行动,Vol.2,v1.0,card/策略卡牌/献祭-I,card/策略卡牌/献祭-I/卡面.md,card/策略卡牌/献祭-I/创作故事.md,,
strategy-献祭-ii-30,策略,献祭 · II,即时行动,Vol.2,v1.0,card/策略卡牌/献祭-II,card/策略卡牌/献祭-II/卡面.md,card/策略卡牌/献祭-II/创作故事.md,,
strategy-胁迫-i-31,策略,胁迫 · I,个体机制,Vol.1,v1.0,card/策略卡牌/胁迫-I,card/策略卡牌/胁迫-I/卡面.md,card/策略卡牌/胁迫-I/创作故事.md,,
strategy-信仰-i-32,策略,信仰 · I,即时行动,Vol.2,v1.0,card/策略卡牌/信仰-I,card/策略卡牌/信仰-I/卡面.md,card/策略卡牌/信仰-I/创作故事.md,,
strategy-虚假信仰-i-33,策略,虚假信仰 · I,个体机制,Vol.2,v1.0,card/策略卡牌/虚假信仰-I,card/策略卡牌/虚假信仰-I/卡面.md,card/策略卡牌/虚假信仰-I/创作故事.md,,
strategy-异时癖-i-34,策略,异时癖 · I,个体机制,Vol.2,v1.0,card/策略卡牌/异时癖-I,card/策略卡牌/异时癖-I/卡面.md,card/策略卡牌/异时癖-I/创作故事.md,,
strategy-圆滑-i-35,策略,圆滑 · I,即时行动,Vol.1,v1.0,card/策略卡牌/圆滑-I,card/策略卡牌/圆滑-I/卡面.md,card/策略卡牌/圆滑-I/创作故事.md,,
strategy-照亮前路-i-36,策略,照亮前路 · I,个体机制,Vol.1,v1.0,card/策略卡牌/照亮前路-I,card/策略卡牌/照亮前路-I/卡面.md,card/策略卡牌/照亮前路-I/创作故事.md,,
strategy-直视神-i-37,策略,直视神 · I,个体机制,Vol.2,v1.0,card/策略卡牌/直视神-I,card/策略卡牌/直视神-I/卡面.md,card/策略卡牌/直视神-I/创作故事.md,,
strategy-钻研-i-38,策略,钻研 · I,个体机制,Vol.2,v1.0,card/策略卡牌/钻研-I,card/策略卡牌/钻研-I/卡面.md,card/策略卡牌/钻研-I/创作故事.md,,
strategy-钻研-ii-39,策略,钻研 · II,个体机制,Vol.2,v1.0,card/策略卡牌/钻研-II,card/策略卡牌/钻研-II/卡面.md,card/策略卡牌/钻研-II/创作故事.md,,
environment-蛮横无理-1,环境,蛮横无理,,Vol.1,v1.0,card/环境卡牌/蛮横无理,card/环境卡牌/蛮横无理/卡面.md,card/环境卡牌/蛮横无理/创作故事.md,,
environment-欲加之罪-2,环境,欲加之罪,,Vol.1,v1.0,card/环境卡牌/欲加之罪,card/环境卡牌/欲加之罪/卡面.md,card/环境卡牌/欲加之罪/创作故事.md,,
environment-混沌之路-3,环境,混沌之路,,Vol.1,v1.0,card/环境卡牌/混沌之路,card/环境卡牌/混沌之路/卡面.md,card/环境卡牌/混沌之路/创作故事.md,,
environment-兀自沉沦-4,环境,兀自沉沦,,Vol.1,v1.0,card/环境卡牌/兀自沉沦,card/环境卡牌/兀自沉沦/卡面.md,card/环境卡牌/兀自沉沦/创作故事.md,,
environment-命定之人-5,环境,命定之人,,Vol.1,v1.0,card/环境卡牌/命定之人,card/环境卡牌/命定之人/卡面.md,card/环境卡牌/命定之人/创作故事.md,,
environment-富饶之罪-6,环境,富饶之罪,,Vol.1,v1.0,card/环境卡牌/富饶之罪,card/环境卡牌/富饶之罪/卡面.md,card/环境卡牌/富饶之罪/创作故事.md,,
environment-贫瘠之罪-7,环境,贫瘠之罪,,Vol.1,v1.0,card/环境卡牌/贫瘠之罪,card/环境卡牌/贫瘠之罪/卡面.md,card/环境卡牌/贫瘠之罪/创作故事.md,,
environment-来生-8,环境,来生,,Vol.1,v1.0,card/环境卡牌/来生,card/环境卡牌/来生/卡面.md,card/环境卡牌/来生/创作故事.md,,
environment-追名逐利-9,环境,追名逐利,,Vol.3,v1.0,card/环境卡牌/追名逐利,card/环境卡牌/追名逐利/卡面.md,card/环境卡牌/追名逐利/创作故事.md,,
environment-许愿池-10,环境,许愿池,,Vol.3,v1.0,card/环境卡牌/许愿池,card/环境卡牌/许愿池/卡面.md,card/环境卡牌/许愿池/创作故事.md,,
environment-圣诞节-11,环境,圣诞节,,Vol.3,v1.0,card/环境卡牌/圣诞节,card/环境卡牌/圣诞节/卡面.md,card/环境卡牌/圣诞节/创作故事.md,,
environment-降雨概率-12,环境,降雨概率,,Vol.3,v1.0,card/环境卡牌/降雨概率,card/环境卡牌/降雨概率/卡面.md,card/环境卡牌/降雨概率/创作故事.md,,
environment-全能侦探-13,环境,全能侦探,,Vol.3,v1.0,card/环境卡牌/全能侦探,card/环境卡牌/全能侦探/卡面.md,card/环境卡牌/全能侦探/创作故事.md,,
environment-一个人的笼中鸟-14,环境,一个人的笼中鸟,,Vol.3,v1.0,card/环境卡牌/一个人的笼中鸟,card/环境卡牌/一个人的笼中鸟/卡面.md,card/环境卡牌/一个人的笼中鸟/创作故事.md,,
environment-阴阳魔界-15,环境,阴阳魔界,,Vol.3,v1.0,card/环境卡牌/阴阳魔界,card/环境卡牌/阴阳魔界/卡面.md,card/环境卡牌/阴阳魔界/创作故事.md,,
environment-初火-16,环境,初火,,Vol.3,v1.0,card/环境卡牌/初火,card/环境卡牌/初火/卡面.md,card/环境卡牌/初火/创作故事.md,,
environment-癫火-17,环境,癫火,,Vol.3,v1.0,card/环境卡牌/癫火,card/环境卡牌/癫火/卡面.md,card/环境卡牌/癫火/创作故事.md,,
environment-群体思维-18,环境,群体思维,,Vol.Special,v1.0,card/环境卡牌/群体思维,card/环境卡牌/群体思维/卡面.md,card/环境卡牌/群体思维/创作故事.md,,
environment-盛宴-19,环境,盛宴,,Vol.Special,v1.0,card/环境卡牌/盛宴,card/环境卡牌/盛宴/卡面.md,card/环境卡牌/盛宴/创作故事.md,,
environment-深潜-20,环境,深潜,,Vol.Special,v1.0,card/环境卡牌/深潜,card/环境卡牌/深潜/卡面.md,card/环境卡牌/深潜/创作故事.md,,
environment-弱肉强食-21,环境,弱肉强食,,Vol.Special,v1.0,card/环境卡牌/弱肉强食,card/环境卡牌/弱肉强食/卡面.md,card/环境卡牌/弱肉强食/创作故事.md,,
intel-情报-i-1,情报,情报 · I,,Vol.1,v1.0,card/情报卡牌/情报-I,card/情报卡牌/情报-I/卡面.md,card/情报卡牌/情报-I/创作故事.md,,
intel-情报-ii-2,情报,情报 · II,,Vol.1,v1.0,card/情报卡牌/情报-II,card/情报卡牌/情报-II/卡面.md,card/情报卡牌/情报-II/创作故事.md,,
intel-情报-iii-3,情报,情报 · III,,Vol.1,v1.0,card/情报卡牌/情报-III,card/情报卡牌/情报-III/卡面.md,card/情报卡牌/情报-III/创作故事.md,,
intel-情报-iv-4,情报,情报 · IV,,Vol.1,v1.0,card/情报卡牌/情报-IV,card/情报卡牌/情报-IV/卡面.md,card/情报卡牌/情报-IV/创作故事.md,,
intel-禁忌真相-5,情报,禁忌真相,,Vol.1,v1.0,card/情报卡牌/禁忌真相,card/情报卡牌/禁忌真相/卡面.md,card/情报卡牌/禁忌真相/创作故事.md,,
support-胁迫-催眠师-1,辅助,胁迫 · 催眠师,策略：个体机制,Vol.2,v1.0,card/辅助卡牌/胁迫-催眠师,card/辅助卡牌/胁迫-催眠师/卡面.md,card/辅助卡牌/胁迫-催眠师/创作故事.md,,
support-盲从-催眠师-2,辅助,盲从 · 催眠师,策略：个体机制,Vol.2,v1.0,card/辅助卡牌/盲从-催眠师,card/辅助卡牌/盲从-催眠师/卡面.md,card/辅助卡牌/盲从-催眠师/创作故事.md,,
support-傀儡-催眠师-3,辅助,傀儡 · 催眠师,策略：个体机制,Vol.2,v1.0,card/辅助卡牌/傀儡-催眠师,card/辅助卡牌/傀儡-催眠师/卡面.md,card/辅助卡牌/傀儡-催眠师/创作故事.md,,
support-命定之人-赌徒-4,辅助,命定之人 · 赌徒,环境,Vol.1,v1.0,card/辅助卡牌/命定之人-赌徒,card/辅助卡牌/命定之人-赌徒/卡面.md,card/辅助卡牌/命定之人-赌徒/创作故事.md,,
support-胁迫-猛男-5,辅助,胁迫 · 猛男,策略：个体机制,Vol.1,v1.0,card/辅助卡牌/胁迫-猛男,card/辅助卡牌/胁迫-猛男/卡面.md,card/辅助卡牌/胁迫-猛男/创作故事.md,,
support-机器学习-仿生人-6,辅助,机器学习 · 仿生人,策略：个体机制,Vol.2,v1.0,card/辅助卡牌/机器学习-仿生人,card/辅助卡牌/机器学习-仿生人/卡面.md,card/辅助卡牌/机器学习-仿生人/创作故事.md,,
support-任务负债-赏金猎人-7,辅助,任务负债 · 赏金猎人,策略：个体机制,Vol.2,v1.0,card/辅助卡牌/任务负债-赏金猎人,card/辅助卡牌/任务负债-赏金猎人/卡面.md,card/辅助卡牌/任务负债-赏金猎人/创作故事.md,,
support-禁忌仪式-8,辅助,禁忌仪式,情报,Vol.2,v1.0,card/辅助卡牌/禁忌仪式,card/辅助卡牌/禁忌仪式/卡面.md,card/辅助卡牌/禁忌仪式/创作故事.md,,
